matchPeriod,minute,eventName,TeamName
2H,84.96554216666667,Yellow_Card,Villarreal
2H,85.11595288333334,Yellow_Card,Espanyol
1H,46.01370601666667,Goal,Deportivo La Coru\u00f1a
1H,46.03800196666667,Goal,Deportivo Alav\u00e9s
2H,49.61230745,Yellow_Card,Deportivo Alav\u00e9s
2H,61.739587183333335,Yellow_Card,Deportivo Alav\u00e9s
1H,16.1785363,Goal,Valencia
1H,16.213827,Goal,M\u00e1laga
2H,53.992114083333334,Goal,Valencia
2H,54.01906378333333,Goal,M\u00e1laga
2H,59.931969933333335,Goal,Valencia
2H,59.96627935,Goal,M\u00e1laga
2H,62.40102025,Goal,Valencia
2H,62.444779116666666,Goal,M\u00e1laga
2H,83.13282283333334,Yellow_Card,M\u00e1laga
2H,85.94534358333334,Goal,Valencia
2H,85.96853588333333,Goal,M\u00e1laga
1H,35.706744449999995,Yellow_Card,Real Betis
1H,36.92922591666666,Yellow_Card,Real Betis
2H,57.611864249999996,Yellow_Card,Real Betis
2H,93.3328673,Goal,Real Betis
2H,93.35208583333333,Goal,Real Madrid
1H,29.4382238,Yellow_Card,Girona
2H,62.89764271666667,Yellow_Card,Girona
2H,72.9245117,Yellow_Card,Girona
2H,77.59102556666667,Yellow_Card,Legan\u00e9s
2H,89.39978651666667,Yellow_Card,Legan\u00e9s
1H,9.779708099999999,Goal,Real Madrid
1H,9.81522595,Goal,Deportivo Alav\u00e9s
1H,13.40312265,Yellow_Card,Deportivo Alav\u00e9s
1H,31.37854033333333,Yellow_Card,Real Madrid
1H,39.089709516666666,Goal,Deportivo Alav\u00e9s
1H,39.135813033333335,Goal,Real Madrid
1H,42.317679483333336,Goal,Real Madrid
1H,42.360159700000004,Goal,Deportivo Alav\u00e9s
1H,43.95785218333333,Yellow_Card,Deportivo Alav\u00e9s
2H,60.12721738333333,Yellow_Card,Deportivo Alav\u00e9s
2H,66.04919636666666,Yellow_Card,Deportivo Alav\u00e9s
2H,86.30599036666668,Yellow_Card,Deportivo Alav\u00e9s
2H,88.16962411666667,Yellow_Card,Real Madrid
1H,2.211977066666667,Yellow_Card,M\u00e1laga
1H,3.5509800833333336,Goal,Athletic Club
1H,3.599563366666666,Goal,M\u00e1laga
1H,34.72294471666667,Goal,M\u00e1laga
1H,34.7633169,Goal,Athletic Club
2H,48.40956361666667,Yellow_Card,M\u00e1laga
2H,50.39725416666667,Goal,Athletic Club
2H,50.42496145,Goal,M\u00e1laga
2H,50.646882399999996,Yellow_Card,M\u00e1laga
2H,51.7837429,Yellow_Card,M\u00e1laga
2H,52.42976518333333,Yellow_Card,Athletic Club
2H,52.4388788,Yellow_Card,M\u00e1laga
2H,59.79601945,Yellow_Card,M\u00e1laga
2H,69.87504796666667,Goal,Athletic Club
2H,69.92212203333334,Goal,M\u00e1laga
2H,80.3975593,Goal,M\u00e1laga
2H,80.43653301666666,Goal,Athletic Club
2H,83.64473053333333,Goal,M\u00e1laga
2H,83.68802055,Goal,Athletic Club
2H,88.78338096666667,Yellow_Card,Athletic Club
1H,4.790494416666666,Goal,Espanyol
1H,4.843810550000001,Goal,Deportivo La Coru\u00f1a
1H,18.8343874,Yellow_Card,Deportivo La Coru\u00f1a
1H,22.006102083333335,Goal,Deportivo La Coru\u00f1a
2H,52.518195649999996,Goal,Deportivo La Coru\u00f1a
2H,52.54168455,Goal,Espanyol
2H,71.94725095000001,Goal,Espanyol
2H,71.99034148333334,Goal,Deportivo La Coru\u00f1a
2H,74.1316841,Yellow_Card,Espanyol
2H,89.30512336666666,Goal,Espanyol
2H,89.38086208333334,Goal,Deportivo La Coru\u00f1a
2H,92.20639241666666,Yellow_Card,Deportivo La Coru\u00f1a
1H,26.917334533333335,Yellow_Card,Atl\u00e9tico Madrid
2H,45.90341846666667,Goal,Atl\u00e9tico Madrid
2H,45.950185383333334,Goal,Sevilla
2H,46.545443516666666,Yellow_Card,Atl\u00e9tico Madrid
2H,48.6598633,Yellow_Card,Sevilla
2H,52.627826649999996,Yellow_Card,Sevilla
2H,66.09109686666667,Yellow_Card,Atl\u00e9tico Madrid
2H,69.01133376666667,Goal,Atl\u00e9tico Madrid
2H,69.06877183333333,Goal,Sevilla
2H,74.90316198333333,Yellow_Card,Atl\u00e9tico Madrid
2H,83.06102546666666,Yellow_Card,Sevilla
1H,15.370401150000001,Yellow_Card,Legan\u00e9s
2H,46.62251066666667,Goal,Legan\u00e9s
2H,46.656673133333335,Goal,Las Palmas
2H,57.396276883333336,Yellow_Card,Legan\u00e9s
2H,65.56727421666666,Yellow_Card,Las Palmas
2H,85.42465858333333,Yellow_Card,Legan\u00e9s
2H,95.88335798333333,Goal,Legan\u00e9s
2H,95.91672374999999,Goal,Las Palmas
1H,16.73463805,Goal,Girona
1H,22.45836381666667,Yellow_Card,Girona
1H,40.7026374,Yellow_Card,Girona
2H,47.41655153333333,Goal,Girona
2H,68.80447174999999,Goal,Barcelona
2H,68.83389828333334,Goal,Girona
2H,81.90062441666667,Yellow_Card,Girona
1H,18.916130266666666,Yellow_Card,Getafe
1H,41.55966701666667,Yellow_Card,Villarreal
2H,53.111542066666665,Goal,Getafe
2H,53.14002833333333,Goal,Villarreal
2H,63.12538653333333,Goal,Getafe
2H,63.1489574,Goal,Villarreal
2H,64.44653473333332,Yellow_Card,Villarreal
2H,66.26615738333334,Goal,Getafe
2H,66.2915428,Goal,Villarreal
2H,73.83086428333333,Yellow_Card,Villarreal
2H,90.62899036666667,Yellow_Card,Villarreal
2H,91.53460471666668,Goal,Getafe
